country_code,country_name,year,population_million,population,unit_measure,source
ISL,Iceland,1973,212316,212316000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1974,215206,215206000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1975,217974,217974000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1976,220151,220151000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1977,221801,221801000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1978,223537,223537000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1979,225734,225734000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1980,228133,228133000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1981,230757,230757000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1982,233855,233855000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1983,236976,236976000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1984,239506,239506000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1985,241409,241409000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1986,243187,243187000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1987,245864,245864000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1988,249734,249734000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1989,252851,252851000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1990,254820,254820000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1991,257795,257795000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1992,261053,261053000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1993,263730,263730000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1994,266021,266021000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1995,267467,267467000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1996,268918,268918000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1997,271130,271130000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1998,274049,274049000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,1999,277384,277384000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2000,281200,281200000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2001,284970,284970000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2002,287516,287516000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2003,289522,289522000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2004,292077,292077000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2005,296734,296734000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2006,303784,303784000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2007,311567,311567000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2008,317404,317404000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2009,318501,318501000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
ISL,Iceland,2010,318044,318044000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
KOR,Korea,1960,25012374,25012374000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
KOR,Korea,1961,25765673,25765673000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
KOR,Korea,1962,26513030,26513030000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
KOR,Korea,1963,27261747,27261747000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
KOR,Korea,1964,27984155,27984155000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
KOR,Korea,1965,28704674,28704674000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
KOR,Korea,1966,29435571,29435571000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
KOR,Korea,1967,30130983,30130983000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
